Date,Close,Date,Close,Date,Close
10/11/2019 16:00:00,554.21,10/11/2019 16:00:00,1731.92,10/11/2019 16:00:00,172.94
10/14/2019 16:00:00,555.58,10/14/2019 16:00:00,1736.43,10/14/2019 16:00:00,171.16
10/15/2019 16:00:00,566.55,10/15/2019 16:00:00,1767.38,10/15/2019 16:00:00,175.29
10/16/2019 16:00:00,548.98,10/16/2019 16:00:00,1777.43,10/16/2019 16:00:00,177.12
10/17/2019 16:00:00,549.25,10/17/2019 16:00:00,1787.48,10/17/2019 16:00:00,176.85
10/18/2019 16:00:00,536.27,10/18/2019 16:00:00,1757.51,10/18/2019 16:00:00,169.13
10/21/2019 16:00:00,545.38,10/21/2019 16:00:00,1785.66,10/21/2019 16:00:00,173.52
10/22/2019 16:00:00,536.89,10/22/2019 16:00:00,1765.73,10/22/2019 16:00:00,169.89
10/23/2019 16:00:00,541.41,10/23/2019 16:00:00,1762.17,10/23/2019 16:00:00,169.92
10/24/2019 16:00:00,551.62,10/24/2019 16:00:00,1780.78,10/24/2019 16:00:00,172.55
10/25/2019 16:00:00,549.81,10/25/2019 16:00:00,1761.33,10/25/2019 16:00:00,174.31
10/28/2019 16:00:00,540.03,10/28/2019 16:00:00,1777.08,10/28/2019 16:00:00,178.68
10/29/2019 16:00:00,542.01,10/29/2019 16:00:00,1762.71,10/29/2019 16:00:00,176.89
10/30/2019 16:00:00,551.05,10/30/2019 16:00:00,1779.99,10/30/2019 16:00:00,177.53
10/31/2019 16:00:00,521.52,10/31/2019 16:00:00,1776.66,10/31/2019 16:00:00,176.67
11/1/2019 16:00:00,490,11/1/2019 16:00:00,1791.44,11/1/2019 16:00:00,176.46
11/4/2019 16:00:00,485.79,11/4/2019 16:00:00,1804.66,11/4/2019 16:00:00,179.69
11/5/2019 16:00:00,485.06,11/5/2019 16:00:00,1801.71,11/5/2019 16:00:00,182
11/6/2019 16:00:00,482.95,11/6/2019 16:00:00,1795.77,11/6/2019 16:00:00,184.16
