Date,Close,Date,Close,Date,Close
5/18/2015 16:00,147.82,5/18/2015 16:00,425.24,5/18/2015 16:00,87.11
5/19/2015 16:00,145.58,5/19/2015 16:00,421.71,5/19/2015 16:00,88.21
5/20/2015 16:00,147.1,5/20/2015 16:00,423.86,5/20/2015 16:00,90.7
5/21/2015 16:00,149.01,5/21/2015 16:00,431.63,5/21/2015 16:00,93.88
5/22/2015 16:00,147.48,5/22/2015 16:00,427.63,5/22/2015 16:00,93.27
5/26/2015 16:00,145.74,5/26/2015 16:00,425.47,5/26/2015 16:00,92.52
5/27/2015 16:00,146.43,5/27/2015 16:00,431.42,5/27/2015 16:00,92.6
5/28/2015 16:00,146.5,5/28/2015 16:00,426.57,5/28/2015 16:00,90.95
5/29/2015 16:00,145.13,5/29/2015 16:00,429.23,5/29/2015 16:00,89.32
6/1/2015 16:00,143.68,6/1/2015 16:00,430.92,6/1/2015 16:00,90.78
6/2/2015 16:00,143.01,6/2/2015 16:00,430.99,6/2/2015 16:00,90.51
6/3/2015 16:00,143.47,6/3/2015 16:00,436.59,6/3/2015 16:00,90.79
6/4/2015 16:00,143.29,6/4/2015 16:00,430.78,6/4/2015 16:00,90.59
6/5/2015 16:00,144.94,6/5/2015 16:00,426.95,6/5/2015 16:00,90.71
6/8/2015 16:00,142.68,6/8/2015 16:00,423.5,6/8/2015 16:00,88.29
6/9/2015 16:00,143.26,6/9/2015 16:00,425.48,6/9/2015 16:00,87.58
6/10/2015 16:00,145.45,6/10/2015 16:00,430.77,6/10/2015 16:00,88.9
6/11/2015 16:00,141.43,6/11/2015 16:00,432.97,6/11/2015 16:00,87.21
6/12/2015 16:00,143.66,6/12/2015 16:00,429.92,6/12/2015 16:00,86.63
6/15/2015 16:00,141.97,6/15/2015 16:00,423.67,6/15/2015 16:00,86.12
6/16/2015 16:00,143.51,6/16/2015 16:00,427.26,6/16/2015 16:00,86.09
6/17/2015 16:00,143.32,6/17/2015 16:00,427.81,6/17/2015 16:00,86.8
6/18/2015 16:00,145.46,6/18/2015 16:00,439.39,6/18/2015 16:00,86.75
6/19/2015 16:00,147.16,6/19/2015 16:00,434.92,6/19/2015 16:00,85.74
6/22/2015 16:00,146.72,6/22/2015 16:00,436.29,6/22/2015 16:00,85.68
6/23/2015 16:00,150.99,6/23/2015 16:00,445.99,6/23/2015 16:00,85.08
6/24/2015 16:00,149.14,6/24/2015 16:00,440.84,6/24/2015 16:00,85.17
6/25/2015 16:00,149.64,6/25/2015 16:00,440.1,6/25/2015 16:00,85.24
6/26/2015 16:00,147.73,6/26/2015 16:00,438.1,6/26/2015 16:00,83.28
6/29/2015 16:00,141.13,6/29/2015 16:00,429.86,6/29/2015 16:00,81.07
6/30/2015 16:00,141.7,6/30/2015 16:00,434.09,6/30/2015 16:00,82.27
7/1/2015 16:00,141.46,7/1/2015 16:00,437.39,7/1/2015 16:00,82.46
7/2/2015 16:00,138.71,7/2/2015 16:00,437.71,7/2/2015 16:00,82.07
7/6/2015 16:00,135.99,7/6/2015 16:00,436.04,7/6/2015 16:00,80.23
7/7/2015 16:00,135.29,7/7/2015 16:00,436.72,7/7/2015 16:00,79.62
7/8/2015 16:00,129.9,7/8/2015 16:00,429.7,7/8/2015 16:00,77.94
7/9/2015 16:00,133.31,7/9/2015 16:00,434.39,7/9/2015 16:00,79.04
7/10/2015 16:00,135.63,7/10/2015 16:00,443.51,7/10/2015 16:00,80.3
